movie_id,genre
452,Mystery
453,Animation
453,Comedy
453,Drama
453,Family
453,Fantasy
454,Action
454,Comedy
454,Crime
454,Mystery
454,Family
455,Drama
455,Science Fiction
455,Thriller
456,Action
456,Drama
456,Mystery
456,Thriller
457,War
457,Drama
457,Action
458,Action
458,Adventure
458,Comedy
458,Romance
459,Comedy
459,Family
459,Animation
459,Adventure
460,Western
460,Animation
460,Adventure
460,Comedy
460,Family
461,Comedy
461,Romance
461,Family
462,Adventure
462,Family
462,Science Fiction
463,Drama
463,Thriller
463,Mystery
464,Romance
464,Drama
465,Animation
465,Comedy
465,Family
466,Animation
466,Family
466,Music
467,Science Fiction
467,Adventure
467,Action
468,Action
468,Adventure
468,Family
468,Fantasy
469,Action
469,Crime
469,Thriller
470,Action
470,Adventure
471,Drama
471,Fantasy
471,Romance
472,Comedy
472,Fantasy
472,Romance
473,Adventure
473,Fantasy
473,Action
473,Comedy
473,Thriller
474,Comedy
474,Fantasy
474,Science Fiction
475,Mystery
475,Drama
475,Horror
476,Action
476,Adventure
476,Drama
477,Action
477,Science Fiction
477,Thriller
478,Drama
478,Thriller
479,Action
479,Adventure
479,Thriller
480,Animation
480,Family
480,Adventure
481,Action
481,Science Fiction
481,War
482,Animation
482,Comedy
482,Family
483,Drama
483,Music
483,Romance
484,Action
484,Adventure
484,Science Fiction
485,Drama
485,Adventure
486,Adventure
486,Comedy
486,Drama
486,Family
486,Fantasy
487,Fantasy
487,Action
487,Adventure
488,Thriller
488,Action
488,Science Fiction
489,Adventure
489,Fantasy
489,Animation
489,Family
490,Documentary
490,Family
491,Thriller
491,Science Fiction
491,Adventure
491,Action
492,Action
492,Adventure
492,History
492,Romance
492,Drama
493,Comedy
493,Animation
494,Drama
494,Romance
495,Family
495,Animation
495,Drama
496,Adventure
496,Action
496,Science Fiction
497,Animation
497,Family
497,Comedy
498,Crime
498,Thriller
498,Horror
499,Western
499,Adventure
500,Comedy
501,Action
501,Crime
501,Thriller
502,Adventure
502,Animation
502,Fantasy
503,Science Fiction
503,Thriller
504,Action
504,Adventure
504,Animation
504,Comedy
504,Family
505,Animation
505,Family
506,Fantasy
506,Action
506,Thriller
506,Science Fiction
507,Animation
507,Comedy
507,Family
508,Action
508,Adventure
508,Science Fiction
509,Adventure
509,Action
509,Science Fiction
510,Family
510,Animation
511,Drama
511,Action
511,Thriller
511,Science Fiction
512,Adventure
512,Action
512,Science Fiction
513,Action
513,Thriller
513,Crime
514,Action
514,Adventure
514,Thriller
515,Animation
515,Family
515,Comedy
515,Adventure
516,Comedy
516,Romance
517,Family
517,Comedy
517,Music
517,Romance
518,Horror
518,Mystery
518,Thriller
519,Action
519,Adventure
519,Comedy
519,Family
520,Thriller
520,Crime
521,Comedy
522,Comedy
522,Drama
523,Comedy
523,Family
524,Action
524,Adventure
524,Thriller
525,Comedy
525,Drama
525,History
526,Animation
526,Action
526,Comedy
526,Family
527,Drama
528,Comedy
528,Crime
529,Drama
529,Action
529,History
529,Thriller
530,Action
530,Drama
530,War
531,Action
531,Comedy
531,Thriller
531,Romance
532,Comedy
532,Action
532,Adventure
533,Comedy
534,Animation
534,Comedy
534,Family
534,Fantasy
535,Action
535,Comedy
535,Crime
535,Romance
536,Action
536,Adventure
536,Drama
536,Romance
537,Drama
537,History
537,Romance
538,Fantasy
538,Action
538,Drama
539,Mystery
539,Drama
539,Thriller
539,Crime
540,Animation
540,Action
540,Science Fiction
540,Family
540,Adventure
541,Action
541,Adventure
541,Comedy
541,Thriller
542,Action
542,War
542,Science Fiction
543,Action
543,Drama
543,Horror
543,Science Fiction
543,Thriller
544,Adventure
544,Fantasy
544,Animation
544,Action
544,Comedy
545,Action
545,Adventure
545,Drama
545,Thriller
546,Science Fiction
546,Thriller
546,Drama
547,Family
547,Animation
547,Adventure
547,Comedy
548,Action
548,Fantasy
548,Thriller
549,Crime
549,Mystery
550,Science Fiction
551,Family
551,Animation
552,Romance
552,Comedy
552,Adventure
553,Comedy
553,Drama
554,Thriller
554,Action
554,Drama
555,Comedy
556,Comedy
556,Family
556,Romance
556,Fantasy
557,Action
557,Drama
557,History
557,War
558,Drama
558,War
559,Animation
559,Comedy
559,Family
560,Drama
560,Romance
561,Action
562,Adventure
562,Drama
562,Family
563,Drama
563,Mystery
563,Thriller
564,Comedy
564,Family
564,Fantasy
565,Drama
565,Thriller
565,Science Fiction
565,Mystery
566,Adventure
566,Animation
566,Comedy
566,Family
566,Fantasy
567,Animation
567,Adventure
567,Comedy
567,Family
568,Comedy
568,Romance
569,Action
569,Adventure
569,Thriller
570,Animation
570,Adventure
570,Comedy
570,Family
571,Action
571,Thriller
572,Drama
572,Action
572,Thriller
572,War
573,Adventure
573,Fantasy
573,Comedy
573,Family
574,Action
574,Thriller
575,Action
575,Thriller
575,Crime
576,Drama
576,Mystery
576,Romance
576,Science Fiction
576,Thriller
577,Drama
577,Thriller
577,Fantasy
577,Mystery
578,Adventure
578,Science Fiction
578,Action
579,Comedy
579,Family
579,Animation
579,Fantasy
579,Music
580,Action
580,History
580,War
581,Action
581,Thriller
582,Science Fiction
582,Action
582,Adventure
582,Thriller
583,Action
583,Science Fiction
584,Adventure
584,Fantasy
584,Drama
585,Fantasy
586,Drama
586,War
587,War
587,Drama
587,History
587,Action
588,Adventure
588,Action
588,Thriller
588,Science Fiction
589,Drama
589,Crime
590,Horror
590,Action
590,Drama
590,Fantasy
590,War
591,Drama
591,Action
591,Thriller
591,Crime
592,Adventure
592,Fantasy
592,Romance
592,Family
593,Adventure
593,Drama
593,History
594,Comedy
594,Drama
595,Action
595,Adventure
595,Comedy
595,Thriller
596,Adventure
596,Action
596,Horror
597,Action
597,Adventure
597,Comedy
597,Thriller
598,Fantasy
598,Action
598,Horror
599,Comedy
599,Drama
599,Music
599,Romance
600,Drama
600,War
601,Action
601,Adventure
601,Thriller
602,Action
602,Science Fiction
602,Thriller
603,Action
603,Adventure
603,Thriller
604,Thriller
605,Adventure
605,Animation
605,Action
605,Comedy
605,Family
606,Animation
606,Music
606,Family
607,Crime
607,Drama
607,Mystery
608,Mystery
608,Action
608,Thriller
608,Science Fiction
608,Adventure
609,Crime
609,Mystery
609,Thriller
610,Action
610,Thriller
611,Action
611,Adventure
612,Thriller
612,Action
612,Drama
613,Adventure
613,Fantasy
613,Drama
613,Romance
614,Action
614,Crime
614,Thriller
615,Animation
615,Family
616,Action
616,Comedy
616,Crime
617,Comedy
618,Adventure
618,Drama
618,History
619,Adventure
619,Fantasy
619,Action
619,Comedy
619,Science Fiction
620,Comedy
621,Drama
621,Thriller
622,Action
622,Drama
622,History
622,Thriller
623,Action
623,Drama
623,Thriller
624,Comedy
625,Action
625,Fantasy
625,Horror
626,Romance
626,Drama
626,Mystery
627,Mystery
627,Science Fiction
627,Thriller
628,Action
628,Adventure
628,Fantasy
628,War
629,Drama
629,History
629,War
630,Action
630,Crime
630,Drama
630,Thriller
631,Comedy
631,Romance
632,Animation
632,Comedy
632,Family
632,Adventure
633,Drama
633,Horror
633,Science Fiction
633,Thriller
634,History
634,Drama
635,Action
635,Science Fiction
636,Drama
637,Fantasy
637,Comedy
637,Family
638,Drama
638,Music
638,Romance
639,Comedy
639,Romance
640,Comedy
641,Action
641,Adventure
642,Comedy
642,Drama
643,Drama
643,War
644,Action
644,Adventure
644,Thriller
645,Action
645,Adventure
645,Thriller
646,Action
646,Adventure
646,Drama
646,Thriller
647,Fantasy
647,Comedy
647,Family
648,Drama
648,History
648,Thriller
649,Drama
649,Romance
650,Comedy
651,Mystery
651,Drama
652,Comedy
652,Drama
652,Family
653,Romance
653,Comedy
653,Crime
653,Drama
654,Action
654,Comedy
654,Romance
655,Science Fiction
655,Action
655,Horror
655,Thriller
655,Adventure
655,Fantasy
656,Action
656,Thriller
657,Comedy
657,Drama
658,Action
658,Horror
658,Science Fiction
659,Action
659,Thriller
659,Science Fiction
660,Crime
660,Action
660,Mystery
660,Thriller
661,Action
661,Adventure
661,Drama
661,Romance
661,Thriller
662,Family
662,Fantasy
662,Science Fiction
662,Adventure
663,Drama
664,Drama
665,Action
665,Adventure
665,Comedy
666,Action
666,Adventure
666,Comedy
666,Crime
666,Romance
666,Thriller
667,Horror
667,Thriller
668,Crime
668,Drama
668,Family
669,Action
669,Fantasy
670,Crime
670,Thriller
671,Drama
671,Romance
672,Adventure
672,Drama
673,Crime
673,Fantasy
673,Drama
674,Comedy
674,Crime
674,Science Fiction
675,Animation
675,Action
675,Family
675,Science Fiction
676,Adventure
676,Science Fiction
677,Drama
677,Action
677,Western
678,Action
678,Drama
678,Thriller
679,Action
679,Drama
679,Adventure
680,Comedy
680,Crime
681,Action
681,Drama
681,Thriller
681,War
682,Comedy
682,Drama
682,Romance
683,Comedy
683,Romance
684,Action
684,Adventure
684,Comedy
684,Thriller
684,Crime
685,Crime
685,Drama
685,Mystery
685,Western
686,Action
686,Comedy
686,Drama
687,Animation
687,Comedy
687,Family
688,Action
688,Adventure
688,War
689,Comedy
689,Romance
690,Comedy
690,Family
691,Fantasy
691,Drama
691,Crime
